,time (sec),time since last (sec),mean update period:,mean update freq (Hz):
1372169746,7.650000095,0.019999981,,
1372169746,7.670000076,0.019999981,,
1372169746,7.690000057,0.019999981,,
1372169746,7.710000038,0.019999981,,
1372169746,7.760000229,0.050000191,,
1372169746,7.770000219,0.00999999,,
1372169746,7.770000219,0,,
1372169746,7.7900002,0.019999981,,
1372169746,7.810000181,0.019999981,,
1372169746,7.830000162,0.019999981,,
1372169746,7.850000143,0.019999981,,
1372169746,7.870000124,0.019999981,,
1372169746,7.890000105,0.019999981,,
1372169746,7.910000086,0.019999981,,
1372169746,7.930000067,0.019999981,,
1372169746,7.950000048,0.019999981,,
1372169746,7.980000019,0.029999971,,
1372169746,8.0400002,0.060000181,,
1372169746,8.0400002,0,,
1372169746,8.0400002,0,,
1372169746,8.050000191,0.00999999,,
1372169746,8.070000172,0.019999981,,
1372169746,8.090000153,0.019999981,,
1372169746,8.110000134,0.019999981,,
1372169747,8.130000114,0.019999981,,
1372169747,8.150000095,0.019999981,,
1372169747,8.170000076,0.019999981,,
1372169747,8.190000057,0.019999981,,
1372169747,8.210000038,0.019999981,,
1372169747,8.230000019,0.019999981,,
1372169747,8.28000021,0.050000191,,
1372169747,8.2900002,0.00999999,,
1372169747,8.2900002,0,,
1372169747,8.310000181,0.019999981,,
1372169747,8.330000162,0.019999981,,
1372169747,8.350000143,0.019999981,,
1372169747,8.370000124,0.019999981,,
1372169747,8.390000105,0.019999981,,
1372169747,8.410000086,0.019999981,,
1372169747,8.430000067,0.019999981,,
1372169747,8.450000048,0.019999981,,
1372169747,8.470000029,0.019999981,,
1372169747,8.49000001,0.019999981,,
1372169747,8.5400002,0.050000191,,
1372169747,8.5400002,0,,
1372169747,8.550000191,0.00999999,,
1372169747,8.570000172,0.019999981,,
1372169747,8.590000153,0.019999981,,
1372169747,8.610000134,0.019999981,,
1372169747,8.630000114,0.019999981,,
1372169747,8.650000095,0.019999981,,
1372169747,8.670000076,0.019999981,,
1372169747,8.690000057,0.019999981,,
1372169747,8.710000038,0.019999981,,
1372169747,8.730000019,0.019999981,,
1372169747,8.75,0.019999981,,
1372169747,8.800000191,0.050000191,,
1372169747,8.810000181,0.00999999,,
1372169747,8.810000181,0,,
1372169747,8.820000172,0.00999999,,
1372169747,8.850000143,0.029999971,,
1372169747,8.870000124,0.019999981,,
1372169747,8.890000105,0.019999981,,
1372169747,8.910000086,0.019999981,,
1372169747,8.930000067,0.019999981,,
1372169747,8.950000048,0.019999981,,
1372169747,8.970000029,0.019999981,,
1372169747,8.99000001,0.019999981,,
1372169747,9.010000229,0.020000219,,
1372169747,9.050000191,0.039999962,,
1372169747,9.060000181,0.00999999,,
1372169747,9.070000172,0.00999999,,
1372169747,9.090000153,0.019999981,,
1372169747,9.100000143,0.00999999,,
1372169748,9.130000114,0.029999971,,
1372169748,9.150000095,0.019999981,,
1372169748,9.170000076,0.019999981,,
1372169748,9.190000057,0.019999981,,
1372169748,9.210000038,0.019999981,,
1372169748,9.230000019,0.019999981,,
1372169748,9.25,0.019999981,,
1372169748,9.270000219,0.020000219,,
1372169748,9.320000172,0.049999952,,
1372169748,9.320000172,0,,
1372169748,9.320000172,0,,
1372169748,9.350000143,0.029999971,,
1372169748,9.370000124,0.019999981,,
1372169748,9.390000105,0.019999981,,
1372169748,9.410000086,0.019999981,,
1372169748,9.430000067,0.019999981,,
1372169748,9.450000048,0.019999981,,
1372169748,9.460000038,0.00999999,,
1372169748,9.49000001,0.029999971,,
1372169748,9.510000229,0.020000219,,
1372169748,9.53000021,0.019999981,,
1372169748,9.600000143,0.069999933,,
1372169748,9.600000143,0,,
1372169748,9.610000134,0.00999999,,
1372169748,9.610000134,0,,
1372169748,9.630000114,0.019999981,,
1372169748,9.650000095,0.019999981,,
1372169748,9.670000076,0.019999981,,
1372169748,9.690000057,0.019999981,,
1372169748,9.710000038,0.019999981,,
1372169748,9.730000019,0.019999981,,
1372169748,9.75,0.019999981,,
1372169748,9.770000219,0.020000219,,
1372169748,9.7900002,0.019999981,,
1372169748,9.850000143,0.059999943,,
1372169748,9.850000143,0,,
1372169748,9.860000134,0.00999999,,
1372169748,9.870000124,0.00999999,,
1372169748,9.890000105,0.019999981,,
1372169748,9.910000086,0.019999981,,
1372169748,9.930000067,0.019999981,,
1372169748,9.950000048,0.019999981,,
1372169748,9.970000029,0.019999981,,
1372169748,9.99000001,0.019999981,,
1372169748,10,0.00999999,,
1372169748,10.03000021,0.03000021,,
1372169748,10.0400002,0.00999999,,
1372169749,10.13000011,0.089999914,,
1372169749,10.13000011,0,,
1372169749,10.1400001,0.00999999,,
1372169749,10.1400001,0,,
1372169749,10.1400001,0,,
1372169749,10.16000009,0.019999981,,
1372169749,10.18000007,0.019999981,,
1372169749,10.21000004,0.029999971,,
1372169749,10.23000002,0.019999981,,
1372169749,10.25,0.019999981,,
1372169749,10.27000022,0.020000219,,
1372169749,10.2900002,0.019999981,,
1372169749,10.31000018,0.019999981,,
1372169749,10.35000014,0.039999962,,
1372169749,10.36000013,0.00999999,,
1372169749,10.37000012,0.00999999,,
1372169749,10.3900001,0.019999981,,
1372169749,10.41000009,0.019999981,,
1372169749,10.43000007,0.019999981,,
1372169749,10.45000005,0.019999981,,
1372169749,10.47000003,0.019999981,,
1372169749,10.49000001,0.019999981,,
1372169749,10.51000023,0.020000219,,
1372169749,10.52000022,0.00999999,,
1372169749,10.55000019,0.029999971,,
1372169749,10.56000018,0.00999999,,
1372169749,10.62000012,0.059999943,,
1372169749,10.62000012,0,,
1372169749,10.63000011,0.00999999,,
1372169749,10.6500001,0.019999981,,
1372169749,10.67000008,0.019999981,,
1372169749,10.69000006,0.019999981,,
1372169749,10.71000004,0.019999981,,
1372169749,10.72000003,0.00999999,,
1372169749,10.75,0.029999971,,
1372169749,10.76000023,0.010000229,,
1372169749,10.78000021,0.019999981,,
1372169749,10.80000019,0.019999981,,
1372169749,10.83000016,0.029999971,,
1372169749,10.9000001,0.069999933,,
1372169749,10.9000001,0,,
1372169749,10.9000001,0,,
1372169749,10.91000009,0.00999999,,
1372169749,10.93000007,0.019999981,,
1372169749,10.95000005,0.019999981,,
1372169749,10.97000003,0.019999981,,
1372169749,10.99000001,0.019999981,,
1372169749,11.01000023,0.020000219,,
1372169749,11.02000022,0.00999999,,
1372169749,11.0400002,0.019999981,,
1372169749,11.06000018,0.019999981,,
1372169749,11.09000015,0.029999971,,
1372169750,11.17000008,0.079999924,,
1372169750,11.17000008,0,,
1372169750,11.17000008,0,,
1372169750,11.18000007,0.00999999,,
1372169750,11.19000006,0.00999999,,
1372169750,11.20000005,0.00999999,,
1372169750,11.22000003,0.019999981,,
1372169750,11.25,0.029999971,,
1372169750,11.26000023,0.010000229,,
1372169750,11.28000021,0.019999981,,
1372169750,11.31000018,0.029999971,,
1372169750,11.32000017,0.00999999,,
1372169750,11.34000015,0.019999981,,
1372169750,11.41000009,0.069999933,,
1372169750,11.41000009,0,,
1372169750,11.42000008,0.00999999,,
1372169750,11.42000008,0,,
1372169750,11.44000006,0.019999981,,
1372169750,11.46000004,0.019999981,,
1372169750,11.49000001,0.029999971,,
1372169750,11.5,0.00999999,,
1372169750,11.53000021,0.03000021,,
1372169750,11.5400002,0.00999999,,
1372169750,11.56000018,0.019999981,,
1372169750,11.58000016,0.019999981,,
1372169750,11.60000014,0.019999981,,
1372169750,11.66000009,0.059999943,,
1372169750,11.67000008,0.00999999,,
1372169750,11.67000008,0,,
1372169750,11.69000006,0.019999981,,
1372169750,11.70000005,0.00999999,,
1372169750,11.72000003,0.019999981,,
1372169750,11.74000001,0.019999981,,
1372169750,11.76000023,0.020000219,,
